// Identity
Name Webley
ShortName webley

// Item and rendering
Icon webley
Colour 255 255 255
DeployedModel None
Model ww2.Webley
Texture webley
ModelScale 0.4

// Ammunition
Ammo webleyAmmo
ReloadTime 80

// Operation
Mode SemiAuto
OneHanded true
Deployable False
RoundsPerMin 120.0

// Ballistics
Recoil 5
MuzzleVelocity 190.0
Dispersion 0.85

// Damage and protection
Damage 6

// Optics
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25

// Attachments
AllowAllAttachments true
AllowBarrelAttachments false
AllowScopeAttachments false
AllowStockAttachments false
AllowGripAttachments false
NumGenericAttachmentSlots 1

// Sounds
ShootSound webleyShoot
ReloadSound webleyReload
