//最后战线制作组编写，版权所有 翻版必究
//作者：2403
//-名称、短名-
Name AP-SASS
ShortName TESRAP
Icon TESRAP

//stock=枪托,barrel=枪管,sights=瞄准器,grip=下挂式
//gadget=侧边导轨,slide=套筒,pump=泵,accessory=附件
AttachmentType grip
//开启/关闭消音
Silencer false
//-物理影响值设定-
//混战伤害倍数
MeleeDamageMultiplier 0
//1.0
//伤害增加
DamageMultiplier 0
//1.8
//扩展倍数
SpreadMultiplier 1.0
//1.3
//后坐力倍数
RecoilMultiplier 1.0
//2.5
//散射倍数
BulletSpeedMultiplier 1.0
//1.0
//重载时间倍数
ReloadTimeMultiplier 1.0
//1.0
//Description §6SASS ONLY_§7AP-增速弹膛「Super SASS专属」_§7能将子弹的速度加速到极致_ _§9伤害+40_§9命中-15_§9后坐力+75
//-机瞄与HUD参数设置-
ZoomLevel 1
FOVZoomLevel 1.3
//机瞄与HUD材质
ZoomOverlay None
//-模型与材质设置-
Model TEBL.TESRAP
Texture TESRAP_2403
ModelScale 0.45
