//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name AT4
ShortName TEAT4
//弹药名称(短名)
Ammo TEAT4Ammo1
Ammo TEAT4Ammo
Ammo INFAmmo
Ammo INFAmmo1
Ammo INFAmmo2
Icon TEAT4
//弹药装填时间, 1=20/1秒
ReloadTime 30
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 0
//杀伤力
Damage 60
//这个值越高，子弹时速的越高
Accuracy 0
NumBullets 2
//循环时间
ShootDelay 10
ShootSound TEBGM71Shoot
ReloadSound TERPG17Reload
Mode SemiAuto
//机瞄设置
Scope MSHUD
ZoomLevel 1.2
FOVZoomLevel 1.0
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model YE2403.TEAT4
Texture TEAT4_2403
ModelScale 0.64
BulletSpeed 2.2
//组件设置
Description §a<M.S> | §5<品质：尖端>_RPG-榴弹推进器_[Rocket Propelled Grenade]_§6封装发射器：无法重复装填,发射后请丢弃
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments
AllowBarrelAttachments false
AllowScopeAttachments false
AllowStockAttachments false
AllowGripAttachments false
NumGenericAttachmentSlots 0
