//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name Win 44
ShortName SE_TEM1887Shot
//弹药名称(短名)
Ammo TEFanet2Ammo
Ammo TEFanetAmmo
Ammo TEFanet3Ammo
Ammo TEFanet4Ammo
Ammo TEFanet5Ammo
Ammo TEFanet6Ammo
Ammo TEFanet7Ammo
Ammo INFAmmo
Ammo INFAmmo1
Ammo INFAmmo2
Icon TEM1887Shot
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 83
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 5
RandomRecoilRange 0.2
RandomRecoilYawRange 0.2
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//杀伤力
Damage 5
//4
NumBullets 10
//这个值越高，子弹时速的越高
Accuracy 12
LoadIntoGun 7
//循环时间
ShootDelay 11
ShootSound TEM1887ShotShoot
ReloadSound TEWin44Reload
Mode SemiAuto
BulletSpeed 12.0
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEM1887Shot
Texture TEM1887Shot_2403
ModelScale 0.5
//组件设置
Description §b<T.E.B.L> | §d<品质：先进>_SG-霰弹枪_[Shot Gun]
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
// 6
//涂装格式“Icon/text”
