// Identity
Name Warhound Titan Vulcan Mega Bolter Ammo
ShortName WH40K_Ammo_WarhoundVulcanMegaBolter
description Ammo for Warhound Vulcan Mega Bolter

// Model and Rendering
Icon Icon_WH40K_Ammo_WarhoundVulcanMegaBolter
Model Manus_WH40K.Misc.WH40K_Misc_TitanBolt_1
Texture Skin_WH40K_Bullet_TitanBolt_1A

// Recipe and Inventory
RoundsPerItem 5000
MaxStackSize 1

// Behaviour
HitBoxSize 0.1
FallSpeed 0
BreaksGlass True
Fuse 0
ExplodeOnImpact True
Penetrates False

// Ballistics and Damage
DamageVsLiving 50
DamageVsPlayer 50
DamageVsVehicles 50
Fire 0
Explosion 1
Mass 1000.0
ExplosiveMassTNTg 150
PenetrationAt100m 60

// Sounds
HitSound bullet

// Effects
SmokeTrail False
HasLight True
FlakParticles 0
