// Identity
Name KCA Smart pistol Ammo
ShortName kcasmartpistolAmmo
Missile
Description Ammo Type : Pistol

// Item and rendering
Model Bullet
Colour 255 255 255
Icon KCASmartpistolAmmo

// Ammunition
MaxStackSize 3
RoundsPerItem 16

// Ballistics
FallSpeed 1.0
BreaksGlass True
HitBoxSize 0.4
Penetration 1.0
LockOnForce 150
LockOnToPlanes False
LockOnToVehicles False
LockOnToMechas False
LockOnToPlayers True
LockOnToLivings True
MaxLockOnAngle 95.0
Mass 8.0

// Damage and detonation
Damage 1
Explosion 0.25
ExplodeOnImpact True
ExplosionBreaksBlocks false
Fuse 0
Fire 0

// Sounds and particles
FlakParticles 0
HitSound bullet
SmokeTrail false
