////̞
Name RPG
ShortName TEKS79Ammo1
Icon TEKS79Ammo1
//Colour in Red, Green, Blue, each going up to 255
Colour 255 255 255
////Item and recipe
StackSize 40
////Visuals
//Model YE2403.TERPGAMMO
//Texture TERPGAMMO_2403
TrailParticles true
TrailParticleType cloud
//TrailParticleType <particleType>
ExplodeParticles 4
//ExplodeParticleType <particleType>
SmokeTime 20
//SmokeParticleType <particleType>
SmokeEffect 15 60 0
SmokeRadius 4
SpinWhenThrown true
////Throwing
CanThrow False
ThrowDelay 2
//ThrowSound <sound>
//DropItemOnThrow <itemID.damage>
////Physics
DetonateOnImpact true
Bounciness 0.0
HitEntityDamage 1
ThrowSpeed 5.0
FallSpeed 3.5
BreaksGlass true
PenetratesBlocks false
HitBoxSize 5
Sticky false
//BounceSound <sound>
////Detonation conditions
VehicleProximityTrigger -1.0
LivingProximityTrigger 1.0
Fuse 0
DetonateWhenShot true
Remote false
//DespawnTime 0
PrimeDelay 0
////Detonation
FireRadius 0.0
ExplosionRadius 0
ExplosionBreaksBlocks true
//DropItemOnDetonate <itemID.damage>
DetonateSound DWEShoot
////Misc
MeleeDamage 10
