// Identity
Name Russian 50kg Bomb
ShortName WW2_Bomb_USSR50kg

// Model and Rendering
Icon Icon_WW2_Bomb_USSR50kg
Model Bomb

// Recipe and Inventory
Recipe S SMP_Part_Misc_Ammo_BombBody G gunpowder F SMP_Part_Misc_Ammo_Fuse
 F 
G G
 S 
RecipeOutput 4
MaxStackSize 4
RoundsPerItem 1

// Behaviour
Bomb True
ExplodeOnImpact True
FallSpeed 1.0
Fuse 200
Penetrates False
BreaksGlass True
HitBoxSize 0.75

// Ballistics and Damage
Damage 50
DamageVsVehicles 50
Explosion 3
Fire 0
SetEntitiesOnFire False
Mass 50000.0
ExplosiveMassTNTKg 22.5
FragType GP_BOMB

// Sounds
HitSound bomb

// Effects
HasLight False
FlakParticles 0
SmokeTrail False
