// Identity
Name Russian 7.62mm Ammo - 49 Bullet Magazin
ShortName WW2_Ammo_USSR762mm
description Amunition for DP-28

// Model and Rendering
Icon Icon_WW2_Ammo_USSR762mm
Model Bullet

// Recipe and Inventory
MaxStackSize 1
RoundsPerItem 49

// Behaviour
ExplodeOnImpact True
FallSpeed 1.0
Fuse 200
Penetrates False
BreaksGlass True
HitBoxSize 0.1

// Ballistics and Damage
Damage 1
DamageVsLiving 10
DamageVsVehicles 1
DamageVsPlanes 5
Explosion 0
Fire 0
Mass 9.6

// Sounds
HitSound bullet

// Effects
FlakParticles 0
SmokeTrail False
