Name 40mm…±…À¡ÒµØ
ShortName 6MGL40Ammo
Model TEBL.TEBLAmmo
Texture TEBLAmmo1_2403
Texture TEGL1_2403
Icon TEMGL40Ammo
//How affected by gravity the bullet is
FallSpeed 9.0
//The maximum stack size
MaxStackSize 10
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 6
//The damage multiplier caused by the bullet on hitting an entity
Damage 1
DamageVsLiving 1
DamageVsVehicles 32
//Size of explosion caused
Explosion 0
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact False
Fuse 20
FlakParticles 1
FlakParticleType hugeexplosion
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass False
//Size of box to check for entities to hit / detonate
HitBoxSize 3.5
HitSound TEC4Shoot
HitSoundEnable true
HitSoundRange 20
//Whether or not the bullet can travel through an entity having hit it
Penetrates False
SmokeTrail True
TrailParticleType flansmod.fmsmoke
Description °Ï6<±¨∆∆¡ÒµØ>_> ‘Ï≥…¥Û∑∂Œß±¨’®_> ∂‘‘ÿæﬂ‘Ï≥…∂ÓÕ‚…À∫¶
RecipeOutput 8
ShapelessRecipe TESupply7
