Name È¼ÁÏµ¥Ôª
ShortName TERY_YMAmmo
Model Bullet
//Colour of icon and model
Icon item9i_275
//How affected by gravity the bullet is
FallSpeed 0.0
//The maximum stack size
MaxStackSize 12
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 1000
//The damage multiplier caused by the bullet on hitting an entity
Damage 1
//Size of explosion caused
Explosion 0
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact False
Fuse 3
FlakParticles 70
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass False
//Size of box to check for entities to hit / detonate
HitBoxSize 0.7
//HitSound MSAmmo_MZ1
//HitSoundEnable true
//HitSoundRange 7
//Whether or not the bullet can travel through an entity having hit it
Penetrates False
SmokeTrail True
TrailParticleType lava
