// Identity
Name Volt V3
ShortName voltv3
Description SMG : DUAL WIELDABLE :

// Item and rendering
Icon VoltV3
Colour 255 255 255
DeployedModel None
Model mw.VoltV3
Texture VoltV3
ModelScale 0.18
MuzzleFlashModel DefaultMuzzleFlash

// Ammunition
Ammo voltv3Ammo
ReloadTime 50

// Operation
Mode FullAuto
OneHanded true
UsableByMechas false
Deployable False
CanShootUnderwater False
RoundsPerMin 720

// Ballistics
Recoil 2
MuzzleVelocity 600
Dispersion 0.38

// Damage and protection
Damage 1

// Optics
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25

// Attachments
AllowAllAttachments false
AllowAttachments flanMWSingleFire flanMWBurstFire flanMWAutoFire flanMWPistolFlashlight flanMWUnderBarrelLaser flanMWSilencer flanMWLongBarrel flanMWForegrip flanMWmuzzlebreak flanMWRedDot flanMWACOG flanMWHCOG flanMW4xScope flanMW2xScope flanMW8xScope
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments false
AllowGripAttachments true
NumGenericAttachmentSlots 1

// Sounds
ShootSound G36Shoot
ReloadSound MWMP44Reload
DistortSound True

// Tooltip
ShowAccuracy true
ShowReloadTime true
ShowDamage true
ShowRecoil true
