//最后战线制作组编写，版权所有 翻版必究
//作者：2403
//-----------------名称、短名-----------------
Name §6SMG Growth
ShortName EMIPlus7
Icon Plus7
ItemID 23861
//组件类型stock=枪托, barrel=枪管部件, sights=瞄准器, grip=下挂式战术组件
AttachmentType stock
//开启/关闭消音
Silencer false
//-----------------物理影响值设定-----------------
//混战伤害倍数
MeleeDamageMultiplier 1.0
//伤害增加
DamageMultiplier 1.2
//扩展倍数
SpreadMultiplier 0.3
//后坐力倍数
RecoilMultiplier 0.5
//散射倍数
BulletSpeedMultiplier 1.0
//重载时间倍数
ReloadTimeMultiplier 1.0

Description E.M.I - 后置改良组件_可用武器: SMG(E.M.I.S)_§9伤害 +20%_§9弹道扩散 -70%_§9后坐力 -50%
//-----------------机瞄与HUD参数设置-----------------
ZoomLevel 1.0
FOVZoomLevel 2.0
//机瞄与HUD材质
ZoomOverlay None
//-----------------模型与材质设置-----------------
Model svz.SkeletonStock
Texture TCPLqt
ModelScale 0.1
//-----------------合成方式设置-----------------
RecipeOutput 1
Recipe 
