// Identity
Name TRIGAT-LR
Description Ammunition for the EC665 Tiger
ShortName TRIGAT
WeaponType Missile

// Item and rendering
Model mw.StingerMissile
Texture Stinger
Colour 255 255 255
Icon TRIGAT

// Ammunition
MaxStackSize 24
RoundsPerItem 1

// Ballistics
FallSpeed 1
BreaksGlass True
HitBoxSize 0.1
Penetrates False
LockOnToPlanes False
LockOnToVehicles True
LockOnToMechas True
LockOnToPlayers False
LockOnToLivings False
MaxLockOnAngle 20.0
Mass 49000
MuzzleVelocity 290
PenetrationAt100m 900

// Damage and detonation
DamageVsLiving 5000
DamageVsVehicles 5000
Explosion 6
ExplodeOnImpact True
Fuse 1000
Fire 0
ExplosiveMassTNTKg 5

// Sounds and particles
FlakParticles 0
HitSound bullet
SmokeTrail True
TrailParticleType explode
