// Identity
Name British 120 mm L31A7 HESH-T (L30A1)
ShortName Shell120mmL31A7
Description High-explosive squash-head ammunition for the Challenger 2 L30A1

// Item and rendering
Model Bullet
Colour 255 255 255
Icon heshell120mm
MaxStackSize 4
RoundsPerItem 1

// Ballistics
Bomb False
Shell True
Mass 17300
MuzzleVelocity 670
FallSpeed 1
ExplosiveMassTNTKg 6.5
PenetrationAt100m 152
FragType HE_SHELL

// Damage and detonation
Damage 50
DamageVsLiving 100
DamageVsVehicles 25
Explosion 4
ExplodeOnImpact True
Fuse 200
Fire 0
BreaksGlass True
HitBoxSize 1.0
Penetrates False

// Effects
SmokeTrail True
TrailParticleType flansmod.fmflame
HasLight True
FlakParticles 10
