// Identity
Name Triple Take Ammo
ShortName tripletakeAmmo
Description Ammo Type : Rifle

// Item and rendering
Model Bullet
Colour 255 255 255
Icon TripleTakeAmmo

// Ammunition
MaxStackSize 3
RoundsPerItem 7
NumBullets 3

// Ballistics
FallSpeed 1.0
BreaksGlass True
HitBoxSize 0.3
Penetration 2.0
Mass 9.5

// Damage and detonation
Damage 1
Explosion 0
ExplosionBreaksBlocks false
ExplodeOnImpact False
Fuse 0
Fire 0

// Sounds and particles
FlakParticles 0
FlakParticleType magicCrit
HitSound bullet
SmokeTrail True
