// Identity
Name APCR Rifle Ammo
ShortName apcrrifleAmmo
Description Ammo Type : Assault Rifle_Loaded with Composite rigid-body rounds.

// Item and rendering
Model Bullet
Colour 255 255 255
Icon APCRRifleAmmo

// Ammunition
MaxStackSize 2
RoundsPerItem 16

// Ballistics
FallSpeed 1.0
BreaksGlass True
HitBoxSize 0.2
Penetrates True
Penetration 8.0
Mass 23
PenetrationAt100m 25

// Damage and detonation
Damage 1
DamageVsLiving 1
DamageVsVehicles 3
Explosion 0
ExplodeOnImpact False
Fuse 0
Fire 0

// Sounds and particles
FlakParticles 0
HitSound bullet
SmokeTrail False
