// Identity
Name 12 Gauge Bird Shot Ammo
ShortName 12gbirdshotAmmo
Description Shotgun Ammo : Brimmed with tiny, low weight pellets.

// Item and rendering
Model Bullet
Colour 255 255 255
Icon 12GBirdShotAmmo

// Ammunition
MaxStackSize 32
RoundsPerItem 1
NumBullets 32

// Ballistics
FallSpeed 1.0
Spread 0.5
BreaksGlass True
HitBoxSize 0.1
Penetrates True
Mass 1.5

// Damage and detonation
Damage 1
Explosion 0
ExplodeOnImpact False
Fuse 10
Fire 0

// Sounds and particles
FlakParticles 0
HitSound bullet
SmokeTrail False
