// Identity
Name 12 Gauge Buck Shot Ammo
ShortName 12gbuckshotAmmo
Description Shotgun Ammo : Loaded with three Large, dense pellets.

// Item and rendering
Model Bullet
Colour 255 255 255
Icon 12GBuckShotAmmo

// Ammunition
MaxStackSize 32
RoundsPerItem 1
NumBullets 3

// Ballistics
FallSpeed 1.0
Spread 0.2
BreaksGlass True
HitBoxSize 0.2
Penetrates True
Mass 3.5

// Damage and detonation
Damage 3
Explosion 0
ExplodeOnImpact False
Fuse 10
Fire 0

// Sounds and particles
FlakParticles 0
HitSound bullet
SmokeTrail False
