// Identity
Name SideWinder7 Ammo
ShortName sidewinder7Ammo
Description Rocket Launcher Ammo :

// Item and rendering
Model mw.Rocket
Texture Rocket
Colour 255 255 255
Icon SideWinder7Ammo

// Ammunition
MaxStackSize 1
RoundsPerItem 24

// Ballistics
FallSpeed 0.05
BreaksGlass True
HitBoxSize 0.1
Penetrates False
Mass 85300
MuzzleVelocity 850

// Damage and detonation
DamageVsLiving 10
DamageVsVehicles 50
Explosion 1
ExplodeOnImpact True
ExplosionBreaksBlocks false
Fuse 200
Fire 0
ExplosiveMassTNTKg 4.2

// Sounds and particles
FlakParticles 0
HitSound bullet
SmokeTrail True
TrailParticleType flame
