// Identity
Name Flare Gun White Ammo
ShortName flaregunwhiteAmmo

// Item and rendering
Model Bullet
Colour 255 255 255
Icon FlaregunwhiteAmmo

// Ammunition
MaxStackSize 8
RoundsPerItem 1

// Ballistics
FallSpeed 1.0
BreaksGlass False
HitBoxSize 0.2
Penetrates True
Mass 90.0

// Damage and detonation
Damage 1
Explosion 0
ExplodeOnImpact False
Fuse 700
Fire 0
SetEntitiesOnFire True

// Sounds and particles
FlakParticles 12
FlakParticleType flame
HitSound bullet
SmokeTrail True
TrailParticleType snowballpoof
