// Identity
Name Panzerfaust 3 Rocket
ShortName panzerfaust3Ammo
Description Rocket Launcher Ammo :

// Item and rendering
Model mw.Rocket
Texture Rocket
Colour 255 255 255
Icon Panzerfaust3Ammo

// Ammunition
MaxStackSize 2
RoundsPerItem 1

// Ballistics
FallSpeed 1.0
BreaksGlass True
HitBoxSize 0.1
Penetrates False
Mass 3900
MuzzleVelocity 152
PenetrationAt100m 700

// Damage and detonation
DamageVsLiving 20
DamageVsVehicles 600
Explosion 1
ExplodeOnImpact True
ExplosionBreaksBlocks false
Fuse 0
Fire 0
ExplosiveMassTNTKg 1

// Sounds and particles
FlakParticles 0
HitSound bullet
SmokeTrail True
TrailParticleType flame
