// Identity
Name B4 Cross Bow Ammo
ShortName b4crossbowAmmo
Description Steel tipped fiberglass shaft arrow

// Item and rendering
Model mw.Rocket
Texture Rocket
Colour 255 255 255
Icon B4CrossBowAmmo

// Ammunition
MaxStackSize 64
RoundsPerItem 1

// Ballistics
FallSpeed 1.0
BreaksGlass True
HitBoxSize 0.4
Penetrates True
Penetration 6.0
Mass 40.0

// Damage and detonation
Damage 1
DamageVsVehicles 1
Explosion 0
ExplodeOnImpact False
Fuse 0
ExplosionBreaksBlocks false
Fire 0

// Sounds and particles
FlakParticles 0
HitSound bullet
SmokeTrail True
