// Identity
Name Flamethrower Ammo
ShortName flamethrowerAmmo

// Item and rendering
Model Null
Colour 255 255 255
Icon FlamethrowerAmmo

// Ammunition
MaxStackSize 2
RoundsPerItem 200

// Ballistics
FallSpeed 0.3
BreaksGlass False
HitBoxSize 6.0
Penetrates False

// Damage and detonation
DamageVsLiving 1.5
DamageVsVehicles 3.0
Explosion 0
ExplodeOnImpact True
Fuse 60
Fire 1
SetEntitiesOnFire True
DamageVsPlanes 2.0

// Sounds and particles
FlakParticles 10
FlakParticleType flame
SmokeTrail True
TrailParticleType flame
