// Identity
Name Blaster E-5
ShortName blasterE-5

// Item and rendering
Icon blastere-5
Colour 255 255 255
Model wolffstarwars.E5
Texture skindc15s
ModelScale 0.8
FlashModel wolffstarwars.MuzzleFlash
FlashTexture sw_redflash

// Ammunition
Ammo E-5Ammo
Ammo blasterStunAmmo
ReloadTime 40

// Operation
RoundsPerMin 550.0
Mode FullAuto
Deployable False
OneHanded True

// Ballistics
Recoil 4
Dispersion 0.26
MuzzleVelocity 280.0

// Damage and protection
Damage 1

// Optics
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25

// Attachments
AllowAllAttachments true
NumGenericAttachmentSlots 2
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true

// Sounds
ShootSound e5shoot
SoundLength 0
DistortSound False
ReloadSound MG42Reload

// Tooltip
ShowDamage True
ShowRecoil True
ShowAccuracy True
ShowReloadTime True
