// Identity
Name Warhound Titan Plasma Blastgun
ShortName WH40K_Gun_WarhoundPlasmaBlastgun_1A

// Model and Rendering
ModelScale 1
Icon Icon_WH40K_Gun_WarhoundPlasmaBlastgun_1A
Model Manus_WH40K.Gun.WH40K_Gun_WarhoundPlasmaBlastgun_1
DeployedModel None
Texture Skin_WH40K_Gun_WarhoundPlasmaBlastgun_1A

// Recipe and Inventory
AllowGripAttachments False
Ammo WH40K_Ammo_WarhoundPlasmaBlastgun
AllowAllAttachments False
AllowAttachments MKVbBoltgunSilencer MKVbBoltgunScope MKVbBoltgunStock
AllowBarrelAttachments False
AllowScopeAttachments False
AllowStockAttachments False
NumGenericAttachmentSlots 0

// Weapons
Deployable False
Mode FullAuto
Recoil 2
ReloadTime 40
OneHanded True
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
RoundsPerMin 120.0
Dispersion 0.15

// Ballistics and Damage
Damage 1
MuzzleVelocity 900.0

// Sounds
DistortSound False
ShootSound LasGun_fire
ReloadSound boltgun_reload
