// Identity
Name Mk22c Lucius Pattern Combat Shotgun
ShortName WH40K_Gun_Mk22cCombatShotgun_1A

// Model and Rendering
Model Manus_WH40K.Gun.WH40K_Gun_Mk22cCombatShotgun_1
ModelScale 0.08
Icon Icon_WH40K_Gun_Mk22cCombatShotgun_1A
Texture Skin_WH40K_Gun_Mk22cCombatShotgun_1A
DeployedModel None

// Recipe and Inventory
Ammo WH40K_Ammo_CombatShotgun
AllowAllAttachments False
AllowAttachments WH40K_Attachment_M36Bayonett_1A
AllowBarrelAttachments False
AllowScopeAttachments False
AllowStockAttachments False
AllowGripAttachments False
NumGenericAttachmentSlots 1

// Weapons
Deployable False
Mode FullAuto
Recoil 2
ReloadTime 40
NumBullets 5
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
RoundsPerMin 200.0
Dispersion 1.8

// Ballistics and Damage
Damage 1
MuzzleVelocity 400.0

// Sounds
ShootSound M1887Shoot
ReloadSound boltgun_reload
