// Identity
Name Chainsword Acitus Pattern
ShortName WH40K_Gun_Chainsword_1A

// Model and Rendering
Icon Icon_WH40K_Gun_Chainsword_1A
Model Manus_WH40K.Gun.WH40K_Gun_Chainsword_1
ModelScale 0.11
Texture Skin_WH40K_Gun_Chainsword_1A

// Recipe and Inventory
AllowAllAttachments False
AllowAttachments M36LasgunGrip
AllowBarrelAttachments False
AllowScopeAttachments False
AllowStockAttachments False
AllowGripAttachments False
NumGenericAttachmentSlots 1

// Weapons
Deployable False
Mode SemiAuto
Recoil 0
ReloadTime 0
OneHanded True
Scope None
FOVZoomLevel 1.0
RoundsPerMin 80.0
Dispersion 0.5

// Ballistics and Damage
Damage 0
MeleeDamage 20

// Sounds
MeleeSound chainsword_swing
IdleSound chainsword_idle
IdleSoundLength 60
ShootSound lightsaber_swing
ReloadSound boltgun_reload
