// Identity
Name M98 Lucius Pattern Lasgun
ShortName WH40K_Gun_M98Lasgun_1A

// Model and Rendering
Model Manus_WH40K.Gun.WH40K_Gun_M98Lasgun_1
ModelScale 0.11
Icon Icon_WH40K_Gun_M98Lasgun_1A
Texture Skin_WH40K_Gun_M98Lasgun_1A
DeployedModel None

// Recipe and Inventory
Ammo WH40K_Ammo_PowerpackLasgun
AllowAllAttachments False
AllowAttachments WH40K_Attachment_M36Bayonett_1A LTRDS48
AllowBarrelAttachments False
AllowScopeAttachments False
AllowStockAttachments False
AllowGripAttachments True
NumGenericAttachmentSlots 1

// Weapons
Deployable False
Mode FullAuto
Recoil 2
ReloadTime 40
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
RoundsPerMin 600.0
Dispersion 0.22

// Ballistics and Damage
Damage 1
MuzzleVelocity 500.0

// Sounds
ShootSound LasGun_fire
ReloadSound boltgun_reload
