// Identity
Name NATO 7.62mm Ammo for MG 3 - 250 Bullet Box
ShortName AmmoNATO762mmMG3
Description Ammunition for the MG3

// Model and Rendering
Model Bullet
Colour 255 255 255
Icon IconAmmoNATO762mmMG3

// Recipe and Inventory
MaxStackSize 1
RoundsPerItem 250

// Behaviour
FallSpeed 1.0
ExplodeOnImpact True
Fuse 200
BreaksGlass True
HitBoxSize 0.1
Penetrates False

// Ballistics and Damage
Mass 9.5
Damage 4
DamageVsVehicles 1
Explosion 0
Fire 0

// Sounds
HitSound bullet

// Effects
FlakParticles 0
SmokeTrail False
