// Identity
Name 20mm Hispano Mk II
ShortName WW2_MG_MKII_1A

// Model and Rendering
Icon Icon_WW2_MG_MKII_1A
DeployedModel Manus_WW2.MG.WW2_MG_GunPlaneGeneric_1
DeployedTexture Skin_WW2_MG_GunPlaneGeneric_1A

// Recipe and Inventory
Ammo WW2_Ammo_MKII

// Weapons
Deployable True
Scope None
Mode FullAuto
Recoil 1
ReloadTime 100
TopViewLimit 0
BottomViewLimit 0
SideViewLimit 0
PivotHeight 0.5
StandBackDistance 1.3
RoundsPerMin 600.0
Dispersion 0.25

// Ballistics and Damage
Damage 1
MuzzleVelocity 880.0

// Sounds
DistortSound False
ShootSound spitfire_20mmshoot
ReloadSound BrowningReload
