// Identity
Name Bordkanone BK 3,7
ShortName WW2_MG_BordkanoneBK37_1A

// Model and Rendering
Icon Icon_WW2_MG_BordkanoneBK37_1A
DeployedModel Manus_WW2.MG.WW2_MG_BordkanoneBK37_1
DeployedTexture Skin_WW2_MG_BordkanoneBK37_1A

// Recipe and Inventory
Ammo WW2_Shell_German37mmAA

// Weapons
Deployable True
Scope None
Mode FullAuto
Recoil 1
ReloadTime 100
TopViewLimit 0
BottomViewLimit 0
SideViewLimit 0
PivotHeight 0.5
StandBackDistance 1.3
RoundsPerMin 160.0
Dispersion 0.25

// Ballistics and Damage
Damage 1
MuzzleVelocity 810.0

// Sounds
DistortSound False
ShootSound 37mmshoot
ReloadSound BrowningReload
