Name 40mm…±…À¡ÒµØ
ShortName 416Ammo
Model YE2403.TEGL1
Texture TEGL1_2403
//Colour of icon and model
Colour 255 255 255
ItemID 23838
Icon 416Ammo
//How affected by gravity the bullet is
FallSpeed 3.5
//The maximum stack size
MaxStackSize 20
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 1
//The damage multiplier caused by the bullet on hitting an entity
Damage 1
DamageVsLiving 12
DamageVsVehicles 16
//Size of explosion caused
Explosion 2
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact False
Fuse 0
FlakParticles 0
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass False
//Size of box to check for entities to hit / detonate
HitBoxSize 1.5
HitSound bullet
//Whether or not the bullet can travel through an entity having hit it
Penetrates False
SmokeTrail True
Description °Ï4<…±…À¡ÒµØ>_> ‘Ï≥…–°∑∂Œß±¨’®_> ∂‘Ω”¥•ƒø±Í‘Ï≥…12±∂…À∫¶
