// Identity
Name 85mm BR-365P APCR (ZiS-S-53/D-5)
ShortName 44_85APCRShell
Description Sub-calibre armour-piercing shot for the 85 mm D-5 and ZiS-S-53

// Rendering
Icon 44_85apshell
Model W44.W44ShellMedium
Texture Skin44_W44Shell_Orange
Colour 255 255 255
HasLight True

// Recipe and inventory
MaxStackSize 3
RoundsPerItem 1

// Ammunition
WeaponType Shell
Bomb False
Shell True

// Ballistics
MuzzleVelocity 1050
FallSpeed 1
HitBoxSize 1.0
Penetrates False
PenetrationAt100m 167
BreaksGlass True

// Damage
Mass 5000
Damage 1
DamageVsLiving 150
DamageVsVehicles 1664
Fire 0

// Explosion
Explosion 1
ExplodeOnImpact True
Fuse 200
HasSubmunitions false

// Effects
SmokeTrail True
TrailParticleType flansmod.fmtracer
FlakParticles 0
ExplodeParticles 9
FlareParticleCount 5
DebrisParticleCount 4

// Sounds
HitSound
