// Identity
Name 85mm BR-365K APHE (ZiS-S-53/D-5)
ShortName 44_85APHEShell
Description Sharp-nosed armour-piercing high-explosive shell for the 85 mm D-5 and ZiS-S-53

// Rendering
Icon 44_85apshell
Model W44.W44ShellMedium
Texture Skin44_W44Shell_Orange
Colour 255 255 255
HasLight True

// Recipe and inventory
MaxStackSize 3
RoundsPerItem 1

// Ammunition
WeaponType Shell
Bomb False
Shell True

// Ballistics
MuzzleVelocity 792
FallSpeed 1
HitBoxSize 1.0
Penetrates False
PenetrationAt100m 130
BreaksGlass True

// Damage
Mass 9200
Damage 1
DamageVsLiving 150
DamageVsVehicles 1664
Fire 0

// Explosion
ExplosiveMassTNTg 48
Explosion 1
ExplodeOnImpact True
Fuse 200

// Effects
SmokeTrail True
TrailParticleType flansmod.fmtracer
FlakParticles 0
ExplodeParticles 9
FlareParticleCount 5
DebrisParticleCount 4

// Sounds
HitSound
