// Identity
Name 88mm Gr. 39 Hl HEAT (KwK 36)
ShortName 44_88HEATShell
Description Shaped-charge shell for the 8.8 cm KwK 36 and FlaK

// Rendering
Icon 44_largeheshell
Model W44.W44ShellLarge
Texture Skin44_W44Shell_Orange
Colour 255 255 255
HasLight True

// Recipe and inventory
MaxStackSize 3
RoundsPerItem 1

// Ammunition
WeaponType Shell
Bomb False
Shell True

// Ballistics
MuzzleVelocity 600
FallSpeed 1
HitBoxSize 1.0
Penetrates False
PenetrationAt100m 110
BreaksGlass True

// Damage
Mass 7600
Damage 50
DamageVsLiving 75
DamageVsVehicles 2000
Fire 0

// Explosion
ExplosiveMassTNTKg 1.1
Explosion 5
ExplodeOnImpact True
Fuse 500

// Effects
SmokeTrail True
TrailParticleType flansmod.fmflame
FlakParticles 0
ExplodeParticles 12
FlareParticleCount 12
DebrisParticleCount 5

// Sounds
HitSound
