// Identity
Name 20mmAircraftAmmo
ShortName 44_20mmAircraftAmmo
Description Ammo used for Aircraft_ - BF-110 G4 _ - Supermarine Mk.IX Spitfire _ - Me BF-109 G-10

// Rendering
Icon 44_20mmAircraftAmmo
Model W44.W44ShellSmall
Texture Skin44_W44Shell_Orange
Colour 255 255 255
 HasLight True

// Recipe and inventory
MaxStackSize 3
RoundsPerItem 35

// Ammunition
WeaponType Missile

// Ballistics
MuzzleVelocity 705
FallSpeed 1.0
HitBoxSize 0.1
Penetrates False
PenetrationAt100m 12
BreaksGlass True

// Damage
Mass 115
DamageVsLiving 50
DamageVsLiving 25
DamageVsVehicles 20
DamageVsVehicles 100
DamageVsPlanes 80
Fire 0

// Explosion
ExplosiveMassTNTg 18
Explosion 0
ExplodeOnImpact True
Fuse 0

// Guidance
LockOnToDriveables False
LockOnToPlayers False
LockOnToLivings False
MaxLockOnAngle 20.0

// Effects
SmokeTrail True
TrailParticleType flansmod.fmsmoke
FlakParticles 0

// Sounds
HitSound bullet
