// Identity
Name 17-pdr Shell Mk 1 HE
ShortName 44_17PdrHEShell
Description High-explosive shell for the QF 17-pounder

// Rendering
Icon 44_mediumheshell
Model W44.W44ShellMedium
Texture Skin44_W44Shell_Orange
Colour 255 255 255
HasLight True

// Recipe and inventory
MaxStackSize 3
RoundsPerItem 1

// Ammunition
WeaponType Shell
Bomb False
Shell True

// Ballistics
MuzzleVelocity 550
FallSpeed 1
HitBoxSize 1.0
Penetrates False
PenetrationAt100m 10
BreaksGlass True

// Damage
Mass 6100
Damage 1
DamageVsLiving 75
DamageVsVehicles 1300
Fire 0

// Explosion
ExplosiveMassTNTg 480
FragType HE_SHELL
Explosion 4
ExplodeOnImpact True
Fuse 500

// Effects
SmokeTrail True
TrailParticleType flansmod.fmflame
FlakParticles 0
ExplodeParticles 10
FlareParticleCount 8
DebrisParticleCount 4

// Sounds
HitSound
