// Identity
Name 75mm Pzgr. 40 APCR (KwK 40/PaK 40)
ShortName 44_75APCRShell
Description Tungsten-cored armour-piercing shot for the 7.5 cm KwK 40, StuK 40 and PaK 40

// Rendering
Icon 44_75apshell
Model W44.W44ShellMedium
Texture Skin44_W44Shell_Orange
Colour 255 255 255
HasLight True

// Recipe and inventory
MaxStackSize 3
RoundsPerItem 1

// Ammunition
WeaponType Shell
Bomb False
Shell True

// Ballistics
MuzzleVelocity 990
FallSpeed 1
HitBoxSize 1.0
Penetrates False
PenetrationAt100m 177
BreaksGlass True

// Damage
Mass 4100
Damage 1
DamageVsLiving 200
DamageVsVehicles 1002
Fire 0

// Explosion
Explosion 1
ExplodeOnImpact True
Fuse 200
HasSubmunitions false

// Effects
SmokeTrail True
TrailParticleType flansmod.fmtracer
FlakParticles 0
ExplodeParticles 8
FlareParticleCount 4
DebrisParticleCount 3

// Sounds
HitSound
