// Identity
Name Nerf Elite Stryfe
ShortName nerfStryfe

// Item and rendering
Icon Stryfe
Colour 255 255 255
DeployedModel None

// Recipe
DungeonLootChance 0

// Ammunition
Ammo 6DartEliteClip
Ammo 12DartEliteClip
Ammo 18DartEliteClip
Ammo 25DartEliteDrum
ReloadTime 50

// Operation
Mode SemiAuto
Deployable False
RoundsPerMin 180

// Ballistics
Recoil 0
MuzzleVelocity 21
Dispersion 1.8

// Damage and protection
Damage 0

// Optics
Scope None

// Sounds
ShootSound StryfeShoot
ReloadSound StryfeReload
