// Identity
Name Invisible Effect for Droid Armour
ShortName InvisibleEffect
Description For players, to use with battle droid armours

// Item and rendering
Icon invisibleeffect
Colour 255 255 255
StackSize 1

// Throwing
SpinWhenThrown true
ThrowDelay 100
ThrowSpeed 1.0
StickToThrower true

// Physics
Bounciness 1.0
FallSpeed 1.0
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.5
Sticky false

// Detonation
DetonateOnImpact false
VehicleProximityTrigger -1.0
LivingProximityTrigger 0.5
Fuse 1
DetonateWhenShot false

// Damage and explosion
Damage 0
FireRadius 0.0
Explosion 0
ExplosionBreaksBlocks false

// Smoke and effects
SmokeTime 1
SmokeEffect 14 100000000 0

// Sounds and particles
TrailParticles false
ExplodeParticles 0
ThrowSound CreeperExplode
