// Identity
Name Powerpack for Large Mech Laser Cannon
ShortName AmmoPowerpackLargeMechLaserCannon

// Model and Rendering
Model manus_sifi.Laser
Texture SkinBulletLaserRed
Colour 255 255 255
Icon IconAmmoPowerpackLargeMechLaserCannon

// Recipe and Inventory
MaxStackSize 3
RoundsPerItem 300

// Behaviour
FallSpeed 0.0
ExplodeOnImpact True
Fuse 100
BreaksGlass True
HitBoxSize 0.1
Penetrates False

// Ballistics and Damage
Damage 316
Explosion 0
Fire 1
MuzzleVelocity 1000.0
PenetrationAt100m 143

// Sounds
HitSound bullet

// Effects
FlakParticles 0
SmokeTrail False
HasLight True
