// Identity
Name Mosin-Nagant
ShortName 44_MosinNagant
Description Soviet Bolt-Action Rifle

// Rendering
Icon 44_MosinNagant
Model W44.MosinNagant
ModelScale 0.25
Texture Skin44_MosinNagant
Colour 255 255 255
DeployedModel None
FlashModel W44.W44MuzzleFlash
FlashTexture Skin44_MuzzleFlash1
CasingModel W44.W44BulletCasing
CasingTexture Skin44_BulletCasing

// Ammunition
Ammo 44_MosinNagantAmmo

// Handling
Mode SemiAuto
Deployable False
MoveSpeedModifier 0.85
Scope None

// Fire rate and reload
RoundsPerMin 45.0
ReloadTime 60
ShowReloadTime true

// Ballistics
MuzzleVelocity 865.0
Dispersion 0.15
ShowAccuracy true

// Damage
Damage 1

// Recoil
Recoil 8.0
RandomRecoilRange 7
RandomRecoilYawRange 0.75
DecreaseRecoil 5.0
DecreaseRecoilYaw 2.0

// Attachments
AllowAttachments 44_OpticalSight 44_PUScope 44_LensSight 44_PaddedStock 44_APBullet 44_HPBullet 44_MatchTrigger 44_MarksmanTrigger 44_FieldmodifiedRiflingBarrel 44_SmoothboreBarrel 44_StainlessSteelBarrel
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments false
AllowGadgetAttachments true
NumGenericAttachmentSlots 1

// Sounds
ShootSound MosinNagantShoot
DistortSound False
GunSoundRange 400
ReloadSound Kar98kReload
ReloadSoundRange 5
EmptyClickSound emptyclick
