// Identity
Name MG-34
ShortName 44_Mg34
Description German General Purpose Machine Gun

// Rendering
Icon 44_Mg34
Model W44.Mg34
ModelScale 1.25
Texture Skin44_Mg34
Colour 255 255 255
DeployedModel None
FlashModel W44.W44MuzzleFlash
FlashTexture Skin44_MuzzleFlash1
CasingModel W44.W44BulletCasing
CasingTexture Skin44_BulletCasing

// Ammunition
Ammo 44_Mg34Ammo

// Handling
Mode FullAuto SemiAuto
Deployable False
MoveSpeedModifier 0.35
Scope None

// Fire rate and reload
RoundsPerMin 850.0
ReloadTime 100
ShowReloadTime true

// Ballistics
MuzzleVelocity 765.0
Dispersion 0.36
ShowAccuracy true

// Damage
Damage 1

// Recoil
Recoil 8.0
RandomRecoilRange 2
RandomRecoilYawRange 0.5
DecreaseRecoil 7.5
DecreaseRecoilYaw 2.0

// Attachments
AllowAttachments 44_OpticalSight 44_AASight 44_PaddedStock 44_APBullet 44_HPBullet 44_MatchTrigger 44_MarksmanTrigger 44_FieldmodifiedRiflingBarrel 44_SmoothboreBarrel 44_StainlessSteelBarrel
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
AllowGadgetAttachments true
NumGenericAttachmentSlots 1

// Sounds
ShootSound Mg34Shoot
DistortSound False
GunSoundRange 400
ReloadSound Mg34Reload
ReloadSoundRange 5
EmptyClickSound emptyclick
