Name §6弹匣改造-#000猎鹿彈
ShortName GRIFFIN_LLD4
Icon GRIFFIN_LLD4
//The type of attachment defines what slot in the gun it takes. Types are "generic", "barrel", "scope", "stock" and "grip"
AttachmentType generic
//If true, then this attachment will muffle all sounds from the gun. Needn't be a barrel attachment
Silencer false
//Flashlight variables
Flashlight false
FlashlightRange 10
FlashlightStrength 12
//近战伤害，伤害，散射，后坐力，子弹时速，模式
MeleeDamageMultiplier 1.0
DamageMultiplier 1.4
SpreadMultiplier 1.3
RecoilMultiplier 1.06
BulletSpeedMultiplier 1.0
ReloadTimeMultiplier 1.0

Description 装备/弹匣改良_§9命中-15_§9伤害+20_§9后坐力+3

ZoomLevel 1.0
FOVZoomLevel 1.0
ZoomOverlay None
Model TEBL.TEHAC1
Texture KB_1
ModelScale 0.01
