// Identity
Name Extended Range Large Mech Laser Cannon
ShortName LargeMechLaserCannon

// Model and Rendering
Icon IconGunLargeMechLaserCannon
Colour 255 255 255
DeployedModel manus_sifi.LargeMechLaserCannon
DeployedTexture SkinGunLargeMechLaserCannon

// Recipe and Inventory
Ammo AmmoPowerpackLargeMechLaserCannon

// Weapons
ReloadTime 100
Recoil 1
Mode FullAuto
Scope None
Deployable True
StandBackDistance 1.3
TopViewLimit 0
BottomViewLimit 0
SideViewLimit 0
PivotHeight 0.5
RoundsPerMin 60
Dispersion 0.2

// Ballistics and Damage
Damage 1
MuzzleVelocity 1000

// Sounds
DistortSound False
ShootSound turbolaser_fire
ReloadSound BrowningReload
