// Identity
Name Glock 17
ShortName glock17
Description Ammo Type : SMG

// Item and rendering
Icon hk45
Colour 255 255 255
DeployedModel None
Model zombie.Glock17
Texture Glock17
ModelScale 1

// Ammunition
Ammo glockAmmo
Ammo m9Ammo
Ammo m1911Ammo
Ammo makarovAmmo
Ammo sigP226Ammo
Ammo uspAmmo
Ammo uspPoisonAmmo
ReloadTime 32

// Operation
Mode SemiAuto
OneHanded true
Deployable False
RoundsPerMin 400.0

// Ballistics
Recoil 1
MuzzleVelocity 375.0
Dispersion 0.7

// Damage and protection
Damage 2.5

// Optics
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25

// Attachments
AllowAllAttachments false
AllowAttachments flanMWSilencer flanMWLongBarrel flanMWRedDot flanMWACOG flanMW4xScope flanMWSingleFire flanMWBurstFire flanMWAutoFire
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments false
AllowGripAttachments false
NumGenericAttachmentSlots 1

// Sounds
ShootSound GlockShoot
ReloadSound MWColtReload
