// Identity
Name Type 97 Grenade
ShortName type97

// Item and rendering
Icon Type97
Colour 255 255 255
Model ww2.FragGrenade
Texture Type97
SpinWhenThrown true

// Ammunition
StackSize 4

// Throwing
ThrowDelay 10
Bounciness 0.8
ThrowSpeed 2.0
Sticky false

// Ballistics
FallSpeed 1.0
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.5

// Damage and detonation
DetonateOnImpact false
HitEntityDamage 1
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 80
DetonateWhenShot true
Remote false
PrimeDelay 0
FireRadius 0.0
ExplosionRadius 4.0
ExplosionBreaksBlocks true
MeleeDamage 4
ExplosiveMassTNTg 65
FragType STD_FRAG

// Smoke and effects
SmokeTime 0

// Sounds and particles
TrailParticles false
ExplodeParticles 0
