// Identity
Name Soviet 122 mm BR-471 APHE (D-25T)
ShortName Russian122APShell
Description Armour-piercing ammunition for the 122 mm D-25T tank gun
Bomb False
Shell True

// Item and rendering
Model Bullet
Colour 255 255 255
Icon TankShell85rAP
HasLight True

// Ammunition
MaxStackSize 8
RoundsPerItem 1

// Ballistics
Mass 25000
MuzzleVelocity 781
FallSpeed 1
PenetrationAt100m 165
BreaksGlass True
HitBoxSize 1.0
Penetrates False

// Damage and detonation
ExplosiveMassTNTg 156
Damage 50
DamageVsLiving 25
DamageVsVehicles 100
Explosion 1
ExplodeOnImpact True
Fuse 200
Fire 0
HasSubmunitions false

// Sounds and particles
SmokeTrail True
TrailParticleType flansmod.fmtracer
FlakParticles 0
