//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name Super90 M4
ShortName TERBalrogXI2
//弹药名称(短名)
consumeBulletType 3
bulletsPerReload 7
Ammo 5FSGAmmo31
Icon TERBalrogXI2
//图标颜色:红色，绿色，蓝色, 最高填写 255.
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 87
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 9
//杀伤力
Damage 6.15
//ShapelessRecipe TEM870MCS
NumBullets 8
//这个值越高，子弹时速的越高
Accuracy 5.8
ShootDelay 6
ShootSound TECSBYShoot
ReloadSound TESuper90M2Reload
Mode FullAuto
BulletSpeed 12
//24.0
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TERBalrogXI2
Texture Skin_Gun_TERBalrogXI2
ModelScale 0.45
//组件设置
Description §c[不可装填(X)]§7消耗：§c--§7%_§a武器种类>§7SG-霰弹枪
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
ReloadSoundRange 5
GunSoundRange 40

CasingModel WE_GUN.TE12SGdk
CasingTexture TE12SGdk_2403
FlashModel WE_GUN.TEM61Flash
FlashTexture TESG1Flash2
