//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name VECTOR.45 速射冲锋枪
ShortName TEVECTOR_WS
//弹药名称(短名)
consumeBulletType 1
bulletsPerReload 2.9
Ammo TE020UMP45AmmoYS
Icon TEVECTOR_WS
//图标颜色:红色，绿色，蓝色, 最高填写 255.
Colour 255 255 255
ItemID 23805
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 35
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 1.6
RandomRecoilRange 0.7
RandomRecoilYawRange 0.7
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//杀伤力
Damage 7.5
//ShapelessRecipe TEVECTOR
//MeleeDamage 0.1
//4
//这个值越高，子弹时速的越高
Accuracy 4
////OneHanded true
//循环时间
ShootDelay 1
ShootSound TEMK51
ReloadSound TESMGReload2
Mode FullAuto SemiAuto
BulletSpeed 9.0
ShowRecoil true
ShowAccuracy true
ShowShowCrosshair True
//ReloadTime true
//机瞄设置
Scope MSHUD
ZoomLevel 1.0
FOVZoomLevel 1.5
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEVECTOR
Texture TEVECTOR_2403_WS
ModelScale 0.45
//组件设置
Description §a[轻型弹药(1)]§7消耗：2.9%_§a武器种类>§7RSMG-速射冲锋枪
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
// 3
//涂装格式“Icon/text”
