Name AG-S30
ShortName TEAGS30
//The ammo this gun uses (shortName)
Ammo TEAGS30Ammo
Icon TEAGS30
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
ItemID 28254
//Reload time in ticks, 1/20ths of a second
ShowCrosshair True
ReloadTime 40
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 1
//Damage 0.1
//in half hearts
Damage 5
//The higher this value, the more the bullets spread
Accuracy 6
//Time in ticks between rounds
ShootDelay 12
ShootSound TEAGS30Shoot
//The length of the sound. 0 for a single shot sound. Other values are for looping sounds
//SoundLength 15
DistortSound False
ReloadSound TERPG17Reload
Mode FullAuto
BulletSpeed 12.0
Scope None
Deployable True
//-----------------------------------------------------------------------------
//All the following is for deployables only. Other guns do not need any of this
//-----------------------------------------------------------------------------
//Place the compiled model class in the models folder
DeployedModel YE2403.TEAGS30
//Place the texture .png in the skins folder
DeployedTexture TEAGS30_2403
Description §a<M.S> | §5<品质：尖端>_重型榴弹发射器_§6固定武器：右键方块上方架设，不可架设于平地_§6右键使用/离开，左键拆除
//The length from the bipod to the trigger of the gun. Deployables only.
StandBackDistance 1.0
//Degrees above and below level that the gun can work within. 90 degrees is vertical
TopViewLimit 20
BottomViewLimit 15
SideViewLimit 50
//The height of the pivot above the block the gun is on.
PivotHeight 0.35

MoveSpeedModifier 0.6
