//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name MK20 SSR
ShortName STEMK20SSR_WS
//弹药名称(短名)
consumeBulletType 2
bulletsPerReload 5.5
Ammo TEBLSURAmmo_22
Icon TEMK20SSR_WS
//图标颜色:红色，绿色，蓝色, 最高填写 255.
Colour 255 255 255
ItemID 23805
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 55
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 1.9
RandomRecoilRange 1.4
RandomRecoilYawRange 1.4
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//杀伤力
Damage 0.1
MeleeDamage 4
//这个值越高，子弹时速的越高
Accuracy 2
//循环时间
ShootDelay 3
ShootSound TEMK20SSRShoot
ReloadSound TEAR1Reload
Mode FullAuto SemiAuto
BulletSpeed 27
//6.0
//机瞄设置
Scope JACK_HUD2
ZoomLevel 3.0
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEMK20SSR
Texture TEMK20SSR_2403_WS
ModelScale 0.45
//组件设置
Description §9[步枪弹药(2)]§7消耗：5.5%_§a武器种类>§7DMR-精确射手步枪_§7载弹§a↑§7稳定§a↑_§7[by 2403&west.myth / 部件调用]
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
// 2
