//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name SVI INFINITY
ShortName TEINFINITY_XDC
//弹药名称(短名)
consumeBulletType 1
bulletsPerReload 6
Ammo TE45ACP_XDAmmoC
Icon TEINFINITYA_XDC
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 64
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 1.6
RandomRecoilRange 0.8
RandomRecoilYawRange 0.8
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//杀伤力
Damage 6.7
NumBullets 2
//MeleeDamage 0.1
//3
//这个值越高，子弹时速的越高
Accuracy 4
//OneHanded true
//循环时间
ShootDelay 2
ShootSound TEINFShoot
ReloadSound TEHGReload_XD
Mode FullAuto SemiAuto
BulletSpeed 12.0
//机瞄设置
Scope CEASGO
ZoomLevel 1.0
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEINFINITY_XD
Texture Skin_Gun_TEINFINITY_XDC
ModelScale 0.27
//组件设置
//Description 使用弹种:45ACP_§b<T.E.B.L> | §t<品质：民用>_HG-手枪_[Hand Gun]_老一辈特遣队成员酷爱使用的INFINITY竞技_手枪改进版本,由战前SVI公司生产.这把1911_风格模块手枪装填双排.45口径手枪弹匣
Description §a[轻型弹药(1)]§7消耗：6%_§a武器种类>§7MHG-冲锋手枪
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments True
AllowAccessoryAttachments True
NumGenericAttachmentSlots 8
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
// 6
//涂装格式“Icon/text”
Paintjob TEINFINITY1 TEINFINITY1_2403
