//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name M4A1 战术小队
ShortName TESTAR15
consumeBulletType 2
bulletsPerReload 4.5
Ammo 30RifleAmmo1
Icon TESTAR15
//图标颜色:红色，绿色，蓝色, 最高填写 255.
Colour 255 255 255
ItemID 23805
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 50
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 1.2
RandomRecoilRange 0.7
RandomRecoilYawRange 0.7
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//杀伤力
Damage 0.1
MeleeDamage 4
//这个值越高，子弹时速的越高
Accuracy 2
//循环时间
ShootDelay 1
ShootSound TEM4A1Shoot
ReloadSound TEAR1Reload
Mode SemiAuto BURST
BulletSpeed 20.0
//机瞄设置
Scope ACOG_TDR
ZoomLevel 1.5
FOVZoomLevel 2.0
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TESTAR15
Texture TESTAR15_2403
ModelScale 0.45
//组件设置
Description §9[步枪弹药(2)]§7消耗：4.5%_§a武器种类>§7AAR-攻击步枪_§7[by 020kun]
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
// 1
