//WE制作组编写，版权所有 翻版必究
//作者：2403
Name Heavy Artillery
ShortName TEM4ONLY
//弹药名称(短名)
consumeBulletType 7
bulletsPerReload 1
Ammo TEM4ONLYAmmo
Ammo TEM4ONLYSEAmmo
Icon TEM4ONLY
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 65
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 12
//杀伤力
Damage 185
//NumBullets 1
//这个值越高，子弹时速的越高
Accuracy 6.6
//循环时间
ShootDelay 25
ShootSound TEM4ONLYShoot
ReloadSound TEM4ONLYReload
Mode SemiAuto
BulletSpeed 6.0
//机瞄设置
Scope None
ZoomLevel 0.0
FOVZoomLevel 1.0
UseCustomMelee True
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model YE2403.TEM4ONLY
Texture TEM4ONLY_2403
ModelScale 0.45
//组件设置
Description §c[不可装填(X)]§7消耗：§c--§7%_§a武器种类>§7TL-温压弹发射器
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments false
AllowScopeAttachments false
AllowStockAttachments false
AllowGripAttachments false
NumGenericAttachmentSlots 0
// 2
KnockbackModifier 0.6
MoveSpeedModifier 0.7
