//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name D-50
ShortName CF_DE50YHX
//弹药名称(短名)
consumeBulletType 5
bulletsPerReload 4
Ammo TED50Ammo
Icon CF_DE50YH
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 34
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 7
RandomRecoilRange 1.1
RandomRecoilYawRange 1.1
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//杀伤力
Damage 16.8
//MeleeDamage 0.1
//5
//这个值越高，子弹时速的越高
Accuracy 2
//循环时间
ShootDelay 4
ShootSound CSGOd50Shoot
DistortSound False
ReloadSound CFD50_XLShoot
Mode SemiAuto
BulletSpeed 12.0
ShowRecoil true
ShowAccuracy true
ShowShowCrosshair True
//ReloadTime true
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.3
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.CF_DE50YH
Texture Skin_Gun_CF_DE50YH
ModelScale 0.5
//组件设置
Description §a[随身弹药(7)]§7消耗：4%_§a武器种类>§7CHG-重型手炮
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments True
AllowAccessoryAttachments True
NumGenericAttachmentSlots 8
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
EmptyClickSound MS_DWShoot
// 4
CasingModel WE_GUN.TE919dk
CasingTexture TE556dk_2403
FlashModel WE_GUN.TEM61Flash
FlashTexture TEHGFlashYH
//TEHGFlash
//上下微调
aimFixedYOffset 0.23
//左右微调
aimSwitchOffset -0.001
//前后微调
aimFixedOffset 0.10
//瞄准进度（开机瞄多久后呈现自定义的角度，我一般是步枪0.5比较自然）
aimSwitchProcess 0.6
// 1
