//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name TH_NUI_ZY
ShortName TH_NUI_ZYWS
//弹药名称(短名)
consumeBulletType 2
bulletsPerReload 3
Ammo TH_NUI_ZYAmmoWS
Icon TH_NUI_ZYWS
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 45
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2.1
//杀伤力
Damage 10
//MeleeDamage 0.1
//4
//这个值越高，子弹时速的越高
Accuracy 3.8
//循环时间
ShootDelay 4
ShootSound TH_NUI_ZYShoot
ReloadSound TEAR1Reload
BulletSpeed 17
Mode FullAuto
ShowRecoil true
ShowAccuracy true
ShowShowCrosshair True
//ReloadTime true
//机瞄设置
Scope mgc.reticlers27
ZoomLevel 1.5
FOVZoomLevel 1.4
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TH_NUI_ZYWS
Texture Skin_Gun_TH_NUI_ZYWS
ModelScale 0.45
//组件设置
Description §9[步枪弹药(2)]§7消耗：3%_§a武器种类>§7MC-军用十字弩_§a装备类型>§7装备武器
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments False
AllowAccessoryAttachments True
NumGenericAttachmentSlots 8
// 8
//涂装格式“Icon/text”
