Name XN-57
ShortName EMIFN57
//The ammo this gun uses (shortName)
consumeBulletType 7
bulletsPerReload 2.5
Ammo SWR_2403Ammo

Icon EMIFN57
//Colour in Red, Green, Blue, each going up to 255.
ShowCrosshair True
//Reload time in ticks, 1/20ths of a second
ReloadTime 50
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2.7
//Damage 0.1
//in half hearts
Damage 6
//The higher this value, the more the bullets spread
Accuracy 2.9
//Time in ticks between rounds
ShootDelay 4
ShootSound EMIFN57Shoot
ReloadSound HGReload
Mode FullAuto
BulletSpeed 8
//Default scope settings. Usually for aiming down sights. In which case, use FOVZoomLevel, not ZoomLevel
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.0
Description §a[随身弹药(7)]§7消耗：2.5%_§a武器种类>§7LHG-轻型手枪
//Deployable Settings
Deployable False
DeployedModel None
//Model Settings
Model EMIGUN.EMIFN57
Texture EMIFN57_2403
ModelScale 0.48
//Attachment Settings
AllowAllAttachments false
//List here all the attachments allowed on this gun by shortName and separated by spaces
AllowAttachments TEMAXD4_H1 TEMAXD4_H2 TEMAXD4_H3 TEMAXD4_H4 TEMAXD4_H5 TEMAXD4_H6 TEMAXD4_H7 TEMAXD4_H8 TEMAXD4_H9 TEMAXD4_H10 TEMAXD4_H TEONLYSEMI DZ_ALL1 DZ_ALL2 DZ_ALL3 DZ_ALL4 DZALL_D1 DZALL_D2 DZALL_D3 DZALL_D4 DZALL_D5 DZEMI_D1 DZEMI_D2 DZEMI_D3 DZEMI_D4 DZEMI_D5 Only_ALL3D1 Only_ALL3D2 Only_ALL3D3 Only_ALL3D4 EMIMAXZ5 EMIPlus_MC TEALL1 TEALL2 TEALL3 TEALL4 TEALL5 TEALL6 TEALL7 TEALL8 TEMAXD1 TEMAXD2 TEMAXD3 TEMAXD4 TEMAXD5 TEMAXM1 TEMAXM2 TEMAXM3 TEMAXM4 TEMAXM5 TEMAXZ1 TEMAXZ2 TEMAXZ3 TEMAXZ4 TEMAXZ5 TEMAXT1 TEMAXT2 TEMAXT3 TEMAXT4 TEMAXT5 TEMAXF1 TEMAXF2 TEMAXF3 TEMAXF4 TEMAXF5 EMIGrow EMIReverse HUD_FHZB HUD_PMG20 HUD_SRS99 HUD_TCPL HUD_TCPLXD HUD_TCPLZCL HUD_TEBL HUD_void HUD_voidH HUD_voidT HUD_YJD EMIReform EMIExtend EMIGrowX EMIReverse2X EMISever EMIPlus1 EMIPlus2 EMIPlus3 EMIPlus4 EMIPlus10 TEALLSP1 TEALLSP2 TEALLSP3 TEALLSP4 TEALLSP5 TEALLSP6 TEALLSP7 TEALLSP8 TESDOOA2 TESDOOA3 TESDOOA4
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
NumGenericAttachmentSlots 6
//涂装格式“Icon/text”
