//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name CT MDR
ShortName TEXM8_30
consumeBulletType 2
bulletsPerReload 4.3
Ammo TMAG30Ammo
Icon TEXM8_30
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 55
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 1.6
RandomRecoilRange 1.3
RandomRecoilYawRange 1.3
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//杀伤力
Damage 0.1
//这个值越高，子弹时速的越高
Accuracy 2
//循环时间
ShootDelay 2
ShootSound TEXM8Shoot1
ReloadSound TEAR1Reload
Mode FullAuto SemiAuto
BulletSpeed 15.0
//6.0
ShowRecoil true
ShowAccuracy true
ShowShowCrosshair True
//ReloadTime true
//机瞄设置
Scope TEXM8_GUI
ZoomLevel 1.6
FOVZoomLevel 1.6
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEXM8
Texture TEXM8_2403_30
ModelScale 0.45
//组件设置
Description §9[步枪弹药(2)]§7消耗：4.3%_§a武器种类>§7AR-突击步枪_§7消耗§a↓↓§7命中§a↑
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
// 4
//涂装格式“Icon/text”
