//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name §6凤凰冲击波
ShortName CraftANYE
//弹药名称(短名)
consumeBulletType 7
bulletsPerReload 1.0
Ammo CraftBLZAmmo
Icon CraftANYE
//弹药装填时间, 1=20/1秒
ReloadTime 14
ShowCrosshair True
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 6
//杀伤力
Damage 0.1
MeleeDamage 0.1
//这个值越高，子弹时速的越高
Accuracy 1
BulletSpeed 15.0
//循环时间
ShootDelay 20
ShootSound TEFHCShoot
ReloadSound TEFHCReload
Mode FullAuto
//机瞄设置
Scope CEASGO
ZoomLevel 1.2
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model YE2403.CraftANYE
Texture CraftANYE_2403
ModelScale 0.45
Description §a[随身弹药(7)]§7消耗：1.0%_§a武器种类>§7HG-手枪
//组件设置
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments EMIGrow EMIReverse HUD_FHZB HUD_PMG20 HUD_SRS99 HUD_TCPL HUD_TCPLXD HUD_TCPLZCL HUD_TEBL HUD_void HUD_voidH HUD_voidT HUD_YJD EMIReform EMIExtend EMIGrowX EMIReverse2X EMISever
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
NumGenericAttachmentSlots 1
//涂装格式“Icon/text”
