//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name AR15 MOD-II
ShortName TEAR15II_DZZ
consumeBulletType 2
bulletsPerReload 5.5
Ammo 30RifleAmmoII1_DZZ
Icon TEAR15II_DZZ
//图标颜色:红色，绿色，蓝色, 最高填写 255.
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 55
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 1.6
RandomRecoilYawRange 0.7
DecreaseRecoil 0.31
DecreaseRecoilYaw 0.4
//杀伤力
Damage 0.1
NumBullets 2
//7.1
//MeleeDamage 0.1
//4
//这个值越高，子弹时速的越高
Accuracy 7.7
//循环时间
ShootDelay 2
ShootSound TEAR15II_DZZShoot
ReloadSound TEAR1Reload
//ReloadSound TEAR2Reload
Mode FullAuto SemiAuto BURST
BulletSpeed 15
//6.0
ShowRecoil true
ShowAccuracy true
ShowShowCrosshair True
//ReloadTime true
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEAR15II_DZZ
Texture Skin_Gun_TEAR15II_DZZ
ModelScale 0.45
//组件设置
Description §c[不可装填(X)]§7消耗：§c--§7%_§a武器种类>§7AR-突击步枪
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
AllowGadgetAttachments True
AllowSlideAttachments True
AllowPumpAttachments True
AllowAccessoryAttachments True
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments True
AllowAccessoryAttachments True
NumGenericAttachmentSlots 8
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
// 8
//涂装格式“Icon/text”
