//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name P90
ShortName SZ_PS90
//弹药名称(短名)
consumeBulletType 2
bulletsPerReload 4.8
Ammo TEP90Ammo
Icon SZ_PS90
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 55
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 0.6
RandomRecoilRange 0.1
RandomRecoilYawRange 0.1
DecreaseRecoil 0.01
DecreaseRecoilYaw 80.0
//杀伤力
Damage 7.3
//MeleeDamage 0.1
//4
//这个值越高，子弹时速的越高
Accuracy 3
//循环时间
ShootDelay 2
ShootSound DZA_SOPShoot1
ReloadSound TEAR1Reload
Mode BURST SemiAuto
BulletSpeed 16.0
ShowRecoil true
ShowAccuracy true
ShowShowCrosshair True
//ReloadTime true
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.SZ_PS90
Texture Skin_Gun_SZ_PS90
ModelScale 0.45
//组件设置
Description §a[步枪弹药(2)]§7消耗：4.8%_§a武器种类>§7ISMG-拦截冲锋枪
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments True
AllowAccessoryAttachments True
NumGenericAttachmentSlots 8
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
// 5
