//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name MS AWM
ShortName CF_MC_Awm
//弹药名称(短名)
consumeBulletType 3
bulletsPerReload 8
Ammo TEKar98kEBRAmmoFF1
Icon CF_MC_Awm
//弹药装填时间, 1=20/1秒
ReloadTime 77
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 4.7
//杀伤力
Damage 35.53
//这个值越高，子弹时速的越高
Accuracy 1
//循环时间
ShootDelay 30
ShootSound CF_MCAWPShoot
ReloadSound CFMCAWMReload
Mode SemiAuto
BulletSpeed 100
//20
//11.0
ShowRecoil true
ShowAccuracy true
ShowShowCrosshair True
//ReloadTime true
//机瞄设置
Scope ACOG_LvoaHS
ZoomLevel 2.5
FOVZoomLevel 2.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.CF_MC_Awm
Texture Skin_Gun_CF_MC_Awm
ModelScale 0.45
//组件设置
Description §d[特种弹药(3)]§7消耗：8%_§a武器种类>§7SR-狙击枪
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments true
AllowGripAttachments true
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments False
AllowAccessoryAttachments True
NumGenericAttachmentSlots 8

FlashModel WE_GUN.TEM61Flash
FlashTexture TEARHBFlash_JHG
